horizon_hours,steps,lead_hours,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error,operator
1.5,1,1.43,1,0.9,adaptive,ALL,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1197873897265591,0.16518265677568436,15.534215734460172,,gp
1.5,1,1.43,1,0.9,adaptive,baseline,49,0.8979591836734694,0.7777233037173732,0.9660282950160443,-0.0020408163265306367,0.10204081632653061,1.1235910956878028,0.16891840135933547,15.1855118802897,,gp
1.5,1,1.43,1,0.9,adaptive,elevated_risk,17,0.8823529411764706,0.6355908378987498,0.9854206831596976,-0.01764705882352946,0.11764705882352941,1.1094980138904535,0.15422447266364123,16.539303314128,,gp
1.5,1,1.43,1,0.9,mondrian,ALL,66,0.8939393939393939,0.793606517867613,0.9562815509014071,-0.0060606060606061,0.10606060606060606,1.1323173711305796,0.17760053432461195,16.160151789595464,,gp
1.5,1,1.43,1,0.9,mondrian,baseline,49,0.9591836734693877,0.8602128129775362,0.9950181581650287,0.05918367346938769,0.04081632653061224,1.1444654334462616,0.1743347369362675,14.819912051983023,,gp
1.5,1,1.43,1,0.9,mondrian,elevated_risk,17,0.7058823529411765,0.4404172812456629,0.8968644856296799,-0.1941176470588235,0.29411764705882354,1.0994557408888919,0.19039157409562782,20.02319573918428,,gp
1.5,1,1.43,1,0.95,marginal,ALL,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.00454545454545463,0.045454545454545456,1.1803490855329903,0.21562312506414522,16.93251000024976,,gp
1.5,1,1.43,1,0.95,marginal,baseline,49,0.9795918367346939,0.8914582360315931,0.9994834435024067,0.0295918367346939,0.02040816326530612,1.1933078535240398,0.22098895047826825,17.315633306445307,,gp
1.5,1,1.43,1,0.95,marginal,elevated_risk,17,0.8823529411764706,0.6355908378987498,0.9854206831596976,-0.0676470588235294,0.11764705882352941,1.1452944215838299,0.19845248373895147,15.828213411803768,,gp
1.5,1,1.43,1,0.95,adaptive,ALL,66,0.9393939393939394,0.8520324360541544,0.983241777301832,-0.010606060606060508,0.06060606060606061,1.1756218250073558,0.21682956337784545,17.25914978240876,,gp
1.5,1,1.43,1,0.95,adaptive,baseline,49,0.9387755102040817,0.8313410992976988,0.9871915786817211,-0.01122448979591828,0.061224489795918366,1.1764486945795423,0.21972391019293463,17.102256664867678,,gp
1.5,1,1.43,1,0.95,adaptive,elevated_risk,17,0.9411764705882353,0.7131106033327794,0.9985118256087334,-0.008823529411764675,0.058823529411764705,1.1733850664665126,0.20850831628446417,17.711371121203616,,gp
1.5,1,1.43,1,0.95,mondrian,ALL,66,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.00454545454545463,0.045454545454545456,1.1803490855329903,0.21562312506414522,16.93251000024976,,gp
1.5,1,1.43,1,0.95,mondrian,baseline,49,0.9795918367346939,0.8914582360315931,0.9994834435024067,0.0295918367346939,0.02040816326530612,1.1933078535240398,0.22098895047826825,17.315633306445307,,gp
1.5,1,1.43,1,0.95,mondrian,elevated_risk,17,0.8823529411764706,0.6355908378987498,0.9854206831596976,-0.0676470588235294,0.11764705882352941,1.1452944215838299,0.19845248373895147,15.828213411803768,,gp
1.5,1,1.43,2,0.8,marginal,ALL,66,0.9090909090909091,0.8125573488135269,0.9659028672287315,0.10909090909090902,0.09090909090909091,1.0976748762573532,0.1427436508997067,13.440987675492128,,gp
